"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"14/07/20","1","2","24","28","40","41","43","8","37"
"07/07/20","4","5","7","9","12","13","32","19","35"
"30/06/20","1","17","26","28","38","39","44","14","41"
"23/06/20","1","3","9","13","17","20","41","28","45"
"16/06/20","1","2","13","21","22","27","38","24","33"
"09/06/20","8","11","26","27","31","38","39","3","36"
"02/06/20","6","11","18","20","26","28","42","37","45"
"26/05/20","3","5","12","22","24","27","30","28","39"
"19/05/20","11","19","21","23","24","25","45","33","41"
"12/05/20","5","6","7","22","28","30","39","11","41"
"05/05/20","1","10","25","26","27","29","31","14","34"
"28/04/20","1","8","14","22","34","44","45","38","42"
"21/04/20","11","13","16","23","28","34","39","8","21"
"14/04/20","1","9","14","15","30","31","37","17","42"
"07/04/20","15","20","25","29","33","43","45","2","36"
"31/03/20","5","10","11","30","32","34","42","36","40"
"24/03/20","6","8","13","19","23","27","45","2","31"
"17/03/20","5","9","12","14","16","24","33","2","17"
"10/03/20","10","14","22","24","25","32","37","2","36"
"03/03/20","13","14","21","29","30","31","42","7","22"
"25/02/20","9","20","31","32","34","39","40","2","27"
"18/02/20","9","11","13","16","37","39","43","29","31"
"11/02/20","8","19","20","21","24","26","31","1","12"
"04/02/20","4","5","11","16","24","31","35","7","14"
"28/01/20","3","9","12","31","35","36","40","1","8"
"21/01/20","5","12","17","22","37","40","43","27","36"
"14/01/20","7","9","10","21","34","40","44","2","37"
"07/01/20","10","15","17","26","28","34","45","12","18"
"31/12/19","1","5","10","11","23","29","39","40","42"
"24/12/19","5","20","21","22","28","29","32","41","45"
"17/12/19","1","7","32","33","34","37","44","12","26"
"10/12/19","3","8","19","30","34","35","44","15","20"
"03/12/19","11","26","28","30","37","42","45","1","35"
"26/11/19","1","2","8","9","26","35","42","3","27"
"19/11/19","5","8","21","23","38","39","40","16","17"
"12/11/19","9","28","29","32","39","40","41","18","26"
"05/11/19","4","8","23","24","30","36","42","21","37"
"29/10/19","1","14","20","21","26","41","44","4","45"
"22/10/19","14","16","27","28","30","33","42","2","36"
"15/10/19","5","13","20","22","25","32","42","21","23"
"08/10/19","5","12","14","18","35","37","40","10","16"
"01/10/19","7","10","12","27","28","37","42","21","22"
"24/09/19","12","17","24","26","36","38","45","1","39"
"17/09/19","3","14","17","28","30","36","40","25","32"
"10/09/19","12","14","17","23","26","28","35","15","29"
"03/09/19","6","13","23","27","38","39","44","2","7"
"27/08/19","7","20","22","27","29","32","40","25","33"
"20/08/19","1","5","7","16","37","41","43","10","20"
"13/08/19","1","7","11","14","18","21","27","35","36"
"06/08/19","13","15","19","24","32","37","45","23","28"
"30/07/19","5","11","21","23","27","30","34","40","42"
"23/07/19","4","9","15","23","25","30","37","24","42"
"16/07/19","5","8","14","22","31","32","37","10","23"
"09/07/19","9","10","15","17","22","31","35","14","45"
"02/07/19","5","6","7","9","28","40","44","37","41"
"25/06/19","14","19","25","29","35","36","42","1","13"
"18/06/19","2","3","6","16","30","35","43","28","41"
"11/06/19","2","7","26","30","34","37","43","5","8"
"04/06/19","2","4","9","17","18","22","28","23","32"
"28/05/19","3","13","20","24","30","33","34","11","29"
"21/05/19","2","18","26","33","36","40","45","5","31"
"14/05/19","16","17","19","23","30","35","45","14","36"
